PUNTS_REQUERITS;245
Data;Caminada;Km;Desnivell;Punts
23/02/2025;13a Travessa Rubí - Sant Jeroni / Montserrat;46,0;4200;19
02/03/2025;25a Marxa dels Castells de la Segarra;54,0;1200;14
09/03/2025;10a Marxa del Setge de Cardona;52,0;4600;21
30/03/2025;19a Ruta dels Tres Monestirs - llarga -;54,0;3883;19
30/03/2025;19a Ruta dels Tres Monestirs - curta -;48,0;2866;16
06/04/2025;21a Travessada Molins de Rei-Montserrat;49,2;4414;19
12/04/2025;14a Almogàver Muntanyes de Prades;59,7;4912;22
12/04/2025;15a Caminada Carenes / Marxa el Pont de Suert a Tremp;52,0;4696;21
26/04/2025;15a Ruta de les Ermites;46,0;3100;17
27/04/2025;22a Caminada Riudoms - la Mola - Riudoms;56,7;3422;19
04/05/2025;21a Marxa de resistència 7 Cims;53,8;4370;20
10/05/2025;35a La Romànica;79,0;5000;27
18/05/2025;49a Travessa del Montseny;48,0;5000;20
24/05/2025;1a Barcelona - Montserrat;63,0;4439;23
01/06/2025;28a Caminada Reus - Prades - Reus;54,8;2950;17
07/06/2025;18a Transfronterera Cap de Rec;49,0;5020;21
13/09/2025;46a Travessa Matagalls Montserrat (Mm);83,4;5773;30
20/09/2025;3a TransMontserrat;48,0;4860;20
27/09/2025;33a Marxa Rasos Manresa;80,7;4050;27
04/10/2025;23a Marxa Trenkakames;55,0;3400;18
11/10/2025;10a Marxa Resistència La Mola Santa;51,0;3220;18
12/10/2025;11a Marxa de Resistència la Llopa per Calella i el Montnegre;54,0;4520;21
18/10/2025;31a La Marxassa;66,5;4470;23
09/11/2025;30a Marxa del Garraf;46,0;2800;16
